MWE,Category,POS 1,POS 2
latin_alphabet,pn,noun,
latin_america,pn,noun,
latin_american,c,adj,
latin_script,pn,noun,
latissimus_dorsi,ffi,noun,
lawn_mower,c,noun,
lay_-_by,ffi,verb,
le_havre,pn,noun,
leap_day,c,noun,
leap_second,c,noun,
learning_disability,c,noun,
leave_behind,ffi,verb,
left_wing,c,noun,
let_go,ffi,verb,
let_loose,ffi,verb,
liability_insurance,c,noun,
lieutenant_colonel,c,noun,
lieutenant_commander,c,noun,
life_-_style,c,noun,
life_assurance,c,noun,
life_insurance,c,noun,
life_jacket,c,noun,
life_science,c,noun,
life_sentence,c,noun,
life_style,c,noun,
light_up,ffi,verb,
lily_of_the_valley,c,noun,
linoleic_acid,c,noun,
lion_city,pn,noun,
liquor_store,c,noun,
little_finger,c,noun,
little_russian,pn,noun,
live_with,s,verb,
liven_up,c,adj,
loan_shark,c,noun,
loch_ness,pn,noun,
lock_up,ffi,verb,
log_off,ffi,verb,
long_ago,ffi,adv,
long_jump,c,noun,
long_river,c,noun,
look_-_alike,ffi,noun,
look_for,ffi,verb,
look_forward,ffi,verb,
look_on,ffi,verb,
lord_'s_prayer,pn,noun,
losing_streak,c,noun,
love_affair,c,noun,
love_child,c,noun,
love_song,c,noun,
low_tide,c,noun,
lumbar_puncture,c,noun,
lyme_disease,c,noun,
machine_gun,c,noun,
machine_language,c,noun,
machu_picchu,pn,noun,
magic_trick,c,noun,
magnesium_oxide,c,noun,
magnetic_moment,c,noun,
magnifying_glass,c,noun,
main_clause,c,noun,
main_course,c,noun,
main_diagonal,c,noun,
major_axis,c,noun,
make_off,ffi,noun,
make_sense_of,ffi,verb,
make_up,c,noun,
mammary_gland,c,noun,
man_-_eater,c,noun,
man_friday,ffi,noun,
man_of_letters,s,noun,
mandarin_chinese,pn,noun,
manic_depression,c,noun,
mardi_gras,pn,noun,
marriage_of_convenience,s,noun,
marshall_islands,pn,noun,
mass_murder,c,noun,
master_race,pn,noun,
match_point,c,noun,
materia_medica,ffi,noun,
maternity_ward,c,noun,
mean_sea_level,c,noun,
meat_market,c,noun,
mechanical_engineering,c,noun,
medieval_english,c,noun,
medieval_russia,pn,noun,
melting_point,c,noun,
melting_pot,ffi,noun,
men_'s_room,ffi,noun,
mental_breakdown,c,noun,
mental_health,c,noun,
mental_hospital,c,noun,
microwave_oven,c,noun,
middle_class,c,noun,
military_personnel,c,noun,
military_police,c,noun,
military_service,c,noun,
milk_chocolate,c,noun,
milky_way_galaxy,c,noun,
milling_machine,c,noun,
mind_-_numbing,c,adj,
minister_for_foreign_affairs,s,noun,
mink_coat,c,noun,
minus_sign,c,noun,
missing_link,c,noun,
modulus_of_elasticity,c,noun,
molecular_biology,c,noun,
molecular_genetics,c,noun,
money_laundering,c,noun,
monkey_wrench,c,noun,
monsoon_season,c,noun,
mop_up,ffi,verb,
morning_glory,c,noun,
morning_sickness,c,noun,
most_often,ffi,adv,
mother_-_in_-_law,s,noun,
mother_'s_day,pn,noun,
mother_superior,c,noun,
